batter,balls,strikes,outs_when_up,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_class,home,half_inning,year,month,day,base_runner_class,if_alignment_class,of_alignment_class
516782,1,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,37,3,0,1,1,0,1,1,11,2021,4,10,1,1,1
516782,1,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,37,2,0,1,1,0,1,1,11,2021,4,10,1,1,1
516782,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,37,1,0,1,1,0,1,1,11,2021,4,10,1,1,1
572816,1,1,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,36,3,0,1,1,0,2,1,11,2021,4,10,1,3,1
572816,0,1,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,36,2,0,1,1,0,2,1,11,2021,4,10,1,3,1
572816,0,0,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,36,1,0,1,1,0,2,1,11,2021,4,10,1,3,1
669432,1,2,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,31,4,0,1,1,0,2,1,9,2021,4,10,2,1,1
669432,1,1,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,31,3,0,1,1,0,2,1,9,2021,4,10,2,1,1
669432,0,1,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,31,2,0,1,1,0,2,1,9,2021,4,10,2,1,1
669432,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,31,1,0,1,1,0,2,1,9,2021,4,10,2,1,1
595453,0,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,30,3,0,1,1,0,1,1,9,2021,4,10,2,1,1
595453,0,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,30,2,0,1,1,0,1,1,9,2021,4,10,2,1,1
595453,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,30,1,0,1,1,0,1,1,9,2021,4,10,2,1,1
500743,3,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,29,5,0,1,1,0,1,1,9,2021,4,10,1,1,1
500743,2,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,29,4,0,1,1,0,1,1,9,2021,4,10,1,1,1
500743,1,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,29,3,0,1,1,0,1,1,9,2021,4,10,1,1,1
500743,1,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,29,2,0,1,1,0,1,1,9,2021,4,10,1,1,1
500743,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,29,1,0,1,1,0,1,1,9,2021,4,10,1,1,1
665862,3,2,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,6,0,1,1,0,2,1,9,2021,4,10,1,3,1
665862,2,2,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,5,0,1,1,0,2,1,9,2021,4,10,1,3,1
665862,2,1,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,4,0,1,1,0,2,1,9,2021,4,10,1,3,1
665862,1,1,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,3,0,1,1,0,2,1,9,2021,4,10,1,3,1
665862,1,0,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,2,0,1,1,0,2,1,9,2021,4,10,1,3,1
665862,0,0,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,28,1,0,1,1,0,2,1,9,2021,4,10,1,3,1
605119,0,0,2,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,24,1,0,1,1,0,1,1,7,2021,4,10,3,1,1
643265,1,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,23,4,0,1,1,0,1,1,7,2021,4,10,3,1,1
643265,0,2,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,23,3,0,1,1,0,1,1,7,2021,4,10,3,1,1
643265,0,1,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,23,2,0,1,1,0,1,1,7,2021,4,10,3,2,1
643265,0,0,1,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,23,1,0,1,1,0,1,1,7,2021,4,10,3,1,1
542583,0,2,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,22,4,0,1,1,0,1,1,7,2021,4,10,2,1,1
542583,0,2,0,543510.0,624413.0,643446.0,542340.0,596019.0,642086.0,607043.0,624424.0,22,3,0,1,1,0,1,1,7,2021,4,10,2,1,1
